Package,Dataset,Topic,Rows,Cols
BioMark,pos.markers (SpikePos),Spike-in metabolomics data for apple extracts,35,9
BioMark,neg.markers (SpikeNeg),Spike-in metabolomics data for apple extracts,36,9
bit64,optimizer64.data,Results of performance measurement on a Core i7 Lenovo T410 8 GB RAM under Windows 7 64bit,8,2
bit64,benchmark64.data,Results of performance measurement on a Core i7 Lenovo T410 8 GB RAM under Windows 7 64bit,16,6
biwavelet,enviro.data,"Multivariate ENSO (MEI), NPGO, and PDO indices",720,6
blm,ccdata,Simulated case-control dataset,756,5
boot,urine,Urine Analysis Data,79,7
boot,tuna,Tuna Sighting Data,64,1
boot,tau,Tau Particle Decay Modes,60,2
boot,survival,Survival of Rats after Radiation Doses,14,2
boot,salinity,Water Salinity and River Discharge,28,4
boot,remission,Cancer Remission and Cell Activity,27,3
boot,polar,Pole Positions of New Caledonian Laterites,50,2
boot,poisons,Animal Survival Times,48,3
boot,paulsen,Neurotransmission in Guinea Pig Brains,346,1
boot,nuclear,Nuclear Power Station Construction Data,32,11
boot,nodal,Nodal Involvement in Prostate Cancer,53,7
boot,nitrofen,Toxicity of Nitrofen in Aquatic Systems,50,5
boot,neuro,Neurophysiological Point Process Data,469,6
boot,motor,Data from a Simulated Motorcycle Accident,94,4
boot,melanoma,Survival from Malignant Melanoma,205,7
boot,islay,Jura Quartzite Azimuths on Islay,18,1
boot,hirose,Failure Time of PET Film,44,3
boot,gravity,Acceleration Due to Gravity,81,2
boot,grav,Acceleration Due to Gravity,26,2
boot,frets,Head Dimensions in Brothers,25,4
boot,fir,Counts of Balsam-fir Seedlings,50,3
boot,ducks,Behavioral and Plumage Characteristics of Hybrid Ducks,11,2
boot,downs.bc,Incidence of Down's Syndrome in British Columbia,30,3
boot,dogs,Cardiac Data for Domestic Dogs,7,2
boot,darwin,Darwin's Plant Height Differences,15,1
boot,coal,Dates of Coal Mining Disasters,191,1
boot,co.transfer,Carbon Monoxide Transfer,7,2
boot,cloth,Number of Flaws in Cloth,32,2
boot,claridge,Genetic Links to Left-handedness,37,2
boot,city,Population of U.S. Cities,10,2
boot,channing,Channing House Data,462,5
boot,cd4,CD4 Counts for HIV-Positive Patients,20,2
boot,cav,Position of Muscle Caveolae,138,2
boot,catsM,Weight Data for Domestic Cats,97,3
boot,capability,Simulated Manufacturing Process Data,75,1
boot,cane,Sugar-cane Disease Data,180,5
boot,calcium,Calcium Uptake Data,27,2
boot,breslow,Smoking Deaths Among Doctors,10,5
boot,brambles,Spatial Location of Bramble Canes,823,3
boot,bigcity,Population of U.S. Cities,49,2
boot,beaver,Beaver Body Temperature Data,100,4
boot,aml,Remission Times for Acute Myelogenous Leukaemia,23,3
boot,amis,Car Speeding and Warning Signs,8437,4
boot,aircondit7,Failures of Air-conditioning Equipment,24,1
boot,aircondit,Failures of Air-conditioning Equipment,12,1
boot,aids,Delay in AIDS Reporting in England and Wales,570,6
boot,acme,Monthly Excess Returns,60,3
boot,aids,Delay in AIDS Reporting in England and Wales,295,3
boot,channing,Channing House Data,462,6
boot,manaus,Average Heights of the Rio Negro river at Manaus,1080,2
boot,melanoma,Survival from Malignant Melanoma,37,2
boot,wool,Australian Relative Wool Prices,309,2
breakage,break.data,Sample recording of SICM pipette breakage,9999,3
bReeze,winddata,Example data for bReeze,36548,17
BSagri,fakeln,A simulated data set of lognormal data,32,2
BSagri,Nematocera,Eklektor counts of Nematocera,192,14
BSagri,MMPoisRep,Simulated data for a simple mixed model with Poisson response,192,4
BSagri,MMPois,Simulated data for a simple mixed model with Poisson response,160,3
BSagri,MM1,Simulated data set for a simple mixed model,160,3
BSagri,Lepi,Insect counts of 12 Species,144,17
BSagri,Feeding,Pupation and Hatching rate in a feeding experiment with four varieties,32,5
BSagri,ExPCov,Simulated example data following a Poisson distribution,32,12
BSagri,ExNBCov,"Simulated example data, drawn from a Negative Binomial Distribution",32,12
BSagri,Diptera,Soil eklektor data for some families of Diptera,32,7
BSagri,Decomp,A simulated data set,1152,5
BSagri,CountRep,Synthetic repeated count data set,160,4
BSagri,Cica2,Catches of Planthoppers and Leafhoppers,24,8
BSagri,Cica1,Catches of Planthoppers and Leafhoppers,24,6
BSagri,Brachycera,Eklektor counts of Brachycera,192,15
C50,churnTrain (churn),Customer Churn Data,3333,20
C50,churnTest (churn),Customer Churn Data,1667,20
CADStat,refids.OR,Reference site identifications western OR,248,2
CADStat,envdata.OR,Environmental data from western OR,248,13
car,Wool,Wool data,27,4
car,Womenlf,Canadian Women's Labour-Force Participation,263,4
car,WeightLoss,Weight Loss Data,34,7
car,Vocab,Vocabulary and Education,21638,4
car,USPop,Population of the United States,22,2
car,UN,GDP and Infant Mortality,207,2
car,Transact,Transaction data,261,3
car,States,Education and Related Statistics for the U.S. States,51,7
car,Soils,Soil Compositions of Physical and Chemical Characteristics,48,14
car,Salaries,Salaries for Professors,397,6
car,Sahlins,Agricultural Production in Mazulu Village,20,2
car,SLID,Survey of Labour and Income Dynamics,7425,5
car,Robey,Fertility and Contraception,50,3
car,Quartet,Four Regression Datasets,11,6
car,Prestige,Prestige of Canadian Occupations,102,6
car,Pottery,Chemical Composition of Pottery,26,6
car,Ornstein,Interlocking Directorates Among Major Canadian Firms,248,4
car,OBrienKaiser,O'Brien and Kaiser's Repeated-Measures Data,16,17
car,Mroz,U.S. Women's Labor-Force Participation,753,8
car,Moore,"Status, Authoritarianism, and Conformity",45,4
car,Migration,Canadian Interprovincial Migration Data,90,8
car,Mandel,Contrived Collinear Data,8,3
car,Leinhardt,Data on Infant-Mortality,105,4
car,Highway1,Highway Accidents,39,12
car,Hartnagel,Canadian Crime-Rates Time Series,38,8
car,Guyer,Anonymity and Cooperation,20,3
car,Greene,Refugee Appeals,384,7
car,Ginzberg,Data on Depression,82,6
car,Friendly,Format Effects on Recall,30,2
car,Freedman,Crowding and Crime in U. S. Metropolitan Areas,110,4
car,Florida,Florida County Voting,67,11
car,Ericksen,The 1980 U.S. Census Undercount,66,9
car,Duncan,Duncan's Occupational Prestige Data,45,4
car,Depredations,Minnesota Wolf Depredation Data,434,5
car,DavisThin,Davis's Data on Drive for Thinness,191,7
car,Davis,Self-Reports of Height and Weight,200,5
car,Cowles,Cowles and Davis's Data on Volunteering,1421,4
car,Chirot,The 1907 Romanian Peasant Rebellion,32,5
car,Chile,Voting Intentions in the 1988 Chilean Plebiscite,2700,8
car,CanPop,Canadian Population Data,16,2
car,Burt,Fraudulent Data on IQs of Twins Raised Apart,27,3
car,Blackmoor,Exercise Histories of Eating-Disordered and Control Subjects,945,4
car,Bfox,Canadian Women's Labour-Force Participation,30,6
car,Baumann,Methods of Teaching Reading Comprehension,66,6
car,Anscombe,U. S. State Public-School Expenditures,51,4
car,Angell,Moral Integration of American Cities,43,4
car,Adler,Experimenter Expectations,97,3
car,AMSsurvey,American Math Society Survey Data,24,5
car,Blackmore,Exercise Histories of Eating-Disordered and Control Subjects,945,4
car,KosteckiDillon,Treatment of Migraine Headaches,4152,9
car,LoBD,Cancer drug data use to provide an example of the use of the skew power distributions.,84,9
car,Mroz,U.S. Women's Labor-Force Participation,753,18
car,Wong,Post-Coma Recovery of IQ,331,7
CARE1,HAV,Hepatitis A virus data,1,7
CARE1,Diabetes,Diabetes data,1,15
CARE1,Congenital,Congenital anomaly data,1,31
caschrono,khct,Monthly electricity comsumption for the period 1970-1984,180,3
caschrono,indbourse,Stock price indices for the period 2006-2010,1148,6
caschrono,essil,Essilor stock for the period 2006-2009,1035,1
caschrono,csdl,French stock and returns,905,4
cat,older.frame (older),Older people dataset,144,7
cat,older,Older people dataset,144,7
cat,crimes,U.S. National Crime Survey,9,3
cat,belt.frame (belt),Data on driver injury and seat belt use,80,7
cat,belt,Data on driver injury and seat belt use,80,7
CCM,data.expr,Sample gene expression and gender data,100,40
charlson,full.data,This is my title,68,4
ChemometricsWithRData,wines,Wine data,177,13
ChemometricsWithRData,prostate,Averaged prostate data from package msProstate.,327,10523
CircStats,rao.table,Table for Rao spacing function,43,4
classInt,jenks71,Illinois 1959 county gross farm product value per acre,102,2
clim.pact,narp,Station data from Nordic Arctic Research Program,16668,15
clim.pact,nacd.meta,Station data from Nordic Arctic Research Program,388,16
clim.pact,meta.nacd,Retrieve station record from the NACD set.,388,16
clim.pact,lon.cont (addland2),Coordinates of coast line.,17844,NA
clim.pact,lon.cont (addland1),Coordinates of coast line.,17844,NA
clim.pact,lat.cont (addland2),Coordinates of coast line.,17844,NA
clim.pact,lat.cont (addland1),Coordinates of coast line.,17844,NA
clim.pact,exp.par,Downscale eponential PDF.,49,24
climatol,windfr,Wind frequency table,4,16
climatol,datcli,Monthly climatic data of a single station,4,12
clue,Phonemes,Miller-Nicely Consonant Phoneme Confusion Data,16,16
cluster,xclara,Bivariate Data Set with 3 Clusters,3000,2
cluster,votes.repub,Votes for Republican Candidate in Presidential Elections,50,31
cluster,ruspini,Ruspini Data,75,2
cluster,pluton,Isotopic Composition Plutonium Batches,45,4
cluster,plantTraits,Plant Species Traits Data,136,31
cluster,flower,Flower Characteristics,18,8
cluster,chorSub,Subset of C-horizon of Kola Data,61,10
cluster,animals,Attributes of Animals,20,6
cluster,agriculture,European Union Agricultural Workforces,12,2
clusterCons,sim_profile,Data sets for the clusterCons package,120,4
clusterCons,sim_class,Data sets for the clusterCons package,200,30
clusterCons,golub,Data sets for the clusterCons package,999,38
clusterSim,data_symbolic,Symbolic interval data,125,6
clusterSim,data_ratio,Ratio data,75,5
clusterSim,data_patternGDM2,"Ordinal data with 27 objects and 6 variables (3 stimulant variables, 2 destimulant variables and 1 nominant variable)",27,6
clusterSim,data_patternGDM1,"Metric data with 17 objects and 10 variables (8 stimulant variables, 2 destimulant variables)",17,10
clusterSim,data_ordinal,Ordinal data,26,12
clusterSim,data_nominal,Nominal data,26,12
clusterSim,data_mixed,Mixed data,25,4
clusterSim,data_interval,Interval data,75,5
clusterSim,data_binary,Binary data,8,10
CMC,cain,Data concerning Computer Anxiety INdex (cain),371,12
CNVassoc,A112,Copy Number Variant intensity data (from CNVtools),2593,35
cobs99,exHe,Small Dataset Example of He,10,2
cobs99,USArmyRoofs,Roof Quality in US Army Bases,153,2
cobs99,DublinWind,Daily Wind Speeds in Dublin,6574,2
colorspace,USSouthPolygon,"Polygon for County Map of US South States: Alabama, Georgia, and South Carolina",4874,3
compareGroups,regicor,REGICOR cross-sectional data,2294,25
CompareTests,specimens,Fictitious data on specimens tested by two methods,402,3
compoisson,Lemaire (insurance),Insurance Count Datasets,5,2
compoisson,Buhlmann (insurance),Insurance Count Datasets,7,2
condGEE,asthma,Asthma recurrence in children,1037,7
copula,uranium,Uranium Exploration Dataset of Cook & Johnson (1986),655,7
copula,rdj,Daily Returns of Three Stocks in the Dow Jones,1262,4
copula,loss,LOSS and ALAE Insurance Data,1500,4
CorrBin,shelltox,Shell Toxicology data,67,4
CorrBin,egde,EGDE data,94,4
corrgram,vote,Voting correlations,12,12
corrgram,baseball,Baseball Hitter's Data,322,22
corrgram,auto,Statistics of 1979 automobile models,74,14
COUNT,affairs,affairs,601,18
COUNT,azcabgptca,azcabgptca,1959,6
COUNT,azdrg112,azdrg112,1798,4
COUNT,azpro,azpro,3589,6
COUNT,azprocedure,azprocedure,3589,6
COUNT,badhealth,badhealth,1127,3
COUNT,fasttrakg,fasttrakg,15,9
COUNT,fishing,fishing,147,7
COUNT,lbw,lbw,189,10
COUNT,lbwgrp,lbwgrp,6,7
COUNT,loomis,loomis,410,11
COUNT,mdvis,mdvis,2227,13
COUNT,medpar,medpar,1495,10
COUNT,nuts,nuts,52,8
COUNT,rwm,rwm,27326,4
COUNT,rwm1984,rwm1984,3874,15
COUNT,rwm5yr,rwm5yr,19609,17
COUNT,ships,ships,40,7
COUNT,smoking,smoking,26,4
COUNT,titanic,titanic,1316,4
COUNT,titanicgrp,titanicgrp,12,5
cumSeg,fibroblast,Fibroblast Cell Line dataset,2462,11
cvq2,cvq2.setA,Small data set to demonstrate the difference between the conventional squared correlation coefficient and the predictive squared correlation coefficient (cross validation).,4,3
cyclones,kuroshio,Ocean currents and sea surface temperature fronts,12,1413
cyclones,gulfstream,Ocean currents and sea surface temperature fronts,12,1413
cyclones,gcr,Analysis of solcar cycle length (SCL).,20422,7
DAAG,ACF1,Aberrant Crypt Foci in Rat Colons,22,2
DAAG,Cars93.summary,A Summary of the Cars93 Data set,6,4
DAAG,Lottario,Ontario Lottery Data,39,2
DAAG,Manitoba.lakes,The Nine Largest Lakes in Manitoba,9,2
DAAG,SP500W90,Closing Numbers for S and P 500 Index - First 100 Days of 1990,100,2
DAAG,SP500close,Closing Numbers for S and P 500 Index,2780,1
DAAG,ais,Australian athletes data set,202,13
DAAG,allbacks,Measurements on a Selection of Books,15,4
DAAG,anesthetic,Anesthetic Effectiveness,30,4
DAAG,ant111b,"Averages by block of corn yields, for treatment 111 only",32,9
DAAG,antigua,Averages by block of yields for the Antigua Corn data,288,7
DAAG,appletaste,Tasting experiment that compared four apple varieties,60,3
DAAG,aulatlong,Latitudes and longitudes for ten Australian cities,10,2
DAAG,austpop,Population figures for Australian States and Territories,9,10
DAAG,biomass,Biomass Data,153,8
DAAG,bomregions,"Australian and Related Historical Annual Climate Data, by region",109,22
DAAG,bomregions2011,"Australian and Related Historical Annual Climate Data, by region",112,22
DAAG,bomregions2012,"Australian and Related Historical Annual Climate Data, by region",113,22
DAAG,bomsoi,Southern Oscillation Index Data,106,21
DAAG,bomsoi2001,Southern Oscillation Index Data,102,15
DAAG,carprice,US Car Price Data,48,9
DAAG,cerealsugar,Percentage of Sugar in Breakfast Cereal,100,1
DAAG,cfseal,Cape Fur Seal Data,30,11
DAAG,cities,Populations of Major Canadian Cities (1992-96),11,11
DAAG,codling,"Dose-mortality data, for fumigation of codling moth with methyl bromide",99,10
DAAG,cottonworkers,Occupation and wage profiles of British cotton workers,14,3
DAAG,cps1,Labour Training Evaluation Data,15992,10
DAAG,cps2,Labour Training Evaluation Data,2369,10
DAAG,cps3,Labour Training Evaluation Data,429,10
DAAG,cricketer,Lifespans of UK 1st class cricketers born 1840-1960,5960,8
DAAG,cuckoohosts,Comparison of cuckoo eggs with host eggs,10,12
DAAG,cuckoos,Cuckoo Eggs Data,120,4
DAAG,dengue,"Dengue prevalence, by administrative region",2000,13
DAAG,dewpoint,Dewpoint Data,72,3
DAAG,droughts,Periods Between Rain Events,2042,2
DAAG,edcCO2,EPICA Dome C Ice Core 800KYr Carbon Dioxide Data,1096,2
DAAG,edcT,EPICA Dome C Ice Core 800KYr Temperature Estimates,5788,5
DAAG,elastic1,Elastic Band Data Replicated,7,2
DAAG,elastic2,Elastic Band Data Replicated Again,9,2
DAAG,elasticband,Elastic Band Data,7,2
DAAG,fossilfuel,Fossil Fuel Data,5,2
DAAG,fossum,Female Possum Measurements,43,14
DAAG,frogs,Frogs Data,212,10
DAAG,frostedflakes,Frosted Flakes data,100,2
DAAG,fruitohms,Electrical Resistance of Kiwi Fruit,128,2
DAAG,gaba,Effect of pentazocine on post-operative pain (average VAS scores),9,7
DAAG,geophones,Seismic Timing Data,56,2
DAAG,grog,Alcohol consumption in Australia and New Zealand,18,5
DAAG,head.injury,Minor Head Injury (Simulated) Data,3121,11
DAAG,headInjury,Minor Head Injury (Simulated) Data,3121,11
DAAG,hills,Scottish Hill Races Data,35,3
DAAG,hills2000,Scottish Hill Races Data - 2000,56,4
DAAG,hotspots,Hawaian island chain hotspot Potassium-Argon ages,35,6
DAAG,hotspots2006,Hawaian island chain hotspot Argon-Argon ages,10,6
DAAG,houseprices,Aranda House Prices,15,3
DAAG,humanpower1,"Oxygen uptake versus mechanical power, for humans",28,3
DAAG,humanpower2,"Oxygen uptake versus mechanical power, for humans",26,3
DAAG,hurricNamed,Named US Atlantic Hurricanes,94,12
DAAG,intersalt,Blood pressure versus Salt; inter-population data,52,4
DAAG,ironslag,Iron Content Measurements,53,2
DAAG,jobs,Canadian Labour Force Summary Data (1995-96),899,17
DAAG,kiwishade,Kiwi Shading Data,48,4
DAAG,leafshape,Full Leaf Shape Data Set,286,9
DAAG,leafshape17,Subset of Leaf Shape Data Set,61,8
DAAG,leaftemp,Leaf and Air Temperature Data,62,4
DAAG,leaftemp.all,Full Leaf and Air Temperature Data Set,62,9
DAAG,litters,Mouse Litters,20,3
DAAG,lung,Cape Fur Seal Lung Measurements,228,10
DAAG,measles,Deaths in London from measles,311,2
DAAG,medExpenses,Family Medical Expenses,33,2
DAAG,mifem,Mortality Outcomes for Females Suffering Myocardial Infarction,1295,10
DAAG,mignonette,Darwin's Wild Mignonette Data,24,2
DAAG,milk,Milk Sweetness Study,86,8
DAAG,modelcars,Model Car Data,12,2
DAAG,monica,WHO Monica Data,6367,12
DAAG,moths,Moths Data,41,4
DAAG,nassCDS,Airbag and other influences on accident fatalities,26217,15
DAAG,nasshead,Documentation of names of columns in nass9702cor,56,3
DAAG,nihills,Record times for Northern Ireland mountain running events,23,4
DAAG,nsw74demo,Labour Training Evaluation Data,445,10
DAAG,nsw74psid1,Labour Training Evaluation Data,2675,10
DAAG,nsw74psid3,Labour Training Evaluation Data,313,10
DAAG,nsw74psidA,A Subset of the nsw74psid1 Data Set,252,10
DAAG,nswdemo,Labour Training Evaluation Data,722,10
DAAG,nswpsid1,Labour Training Evaluation Data,2787,10
DAAG,oddbooks,Measurements on 12 books,12,4
DAAG,orings,Challenger O-rings Data,23,4
DAAG,pair65,Heated Elastic Bands,9,2
DAAG,possum,Possum Measurements,104,14
DAAG,possumsites,Possum Sites,7,3
DAAG,primates,Primate Body and Brain Weights,5,2
DAAG,progression,"Progression of Record times for track races, 1912 - 2008",227,4
DAAG,psid1,Labour Training Evaluation Data,2490,10
DAAG,psid2,Labour Training Evaluation Data,253,10
DAAG,psid3,Labour Training Evaluation Data,128,10
DAAG,races2000,Scottish Hill Races Data - 2000,77,5
DAAG,rainforest,Rainforest Data,65,7
DAAG,rareplants,Rare and Endangered Plant Species,4,3
DAAG,rice,Genetically Modified and Wild Type Rice Data,72,7
DAAG,rockArt,Pacific Rock Art features,103,641
DAAG,roller,Lawn Roller Data,10,2
DAAG,science,School Science Survey Data,1385,7
DAAG,seedrates,Barley Seeding Rate Data,5,2
DAAG,socsupport,Social Support Data,95,20
DAAG,softbacks,Measurements on a Selection of Paperback Books,8,2
DAAG,sorption,sorption data set,192,14
DAAG,spam7,Spam E-mail Data,4601,7
DAAG,stVincent,Averages by block of yields for the St. Vincent Corn data,324,8
DAAG,sugar,Sugar Data,12,2
DAAG,tinting,Car Window Tinting Experiment Data,182,9
DAAG,tomato,Root weights of tomato plants exposed to 4 different treatments,24,2
DAAG,toycars,Toy Cars Data,27,3
DAAG,vince111b,"Averages by block of corn yields, for treatment 111 only",36,8
DAAG,vlt,Video Lottery Terminal Data,345,5
DAAG,wages1833,Wages of Lancashire Cotton Factory Workers in 1833,51,5
DAAG,worldRecords,"Record times for track and road races, at August 9th 2006",40,5
datasets,AirPassengers,Monthly Airline Passenger Numbers 1949-1960,144,2
datasets,BJsales,Sales Data with Leading Indicator,150,2
datasets,BOD,Biochemical Oxygen Demand,6,2
datasets,CO2,Carbon Dioxide Uptake in Grass Plants,237,2
datasets,Formaldehyde,Determination of Formaldehyde,6,2
datasets,HairEyeColor,Hair and Eye Color of Statistics Students,4,4
datasets,InsectSprays,Effectiveness of Insect Sprays,72,2
datasets,JohnsonJohnson,Quarterly Earnings per Johnson & Johnson Share,84,2
datasets,LakeHuron,Level of Lake Huron 1875-1972,98,2
datasets,LifeCycleSavings,Intercountry Life-Cycle Savings Data,50,5
datasets,Nile,Flow of the River Nile,100,2
datasets,OrchardSprays,Potency of Orchard Sprays,64,4
datasets,PlantGrowth,Results from an Experiment on Plant Growth,30,2
datasets,Puromycin,Reaction Velocity of an Enzymatic Reaction,23,3
datasets,Titanic,Survival of passengers on the Titanic,1313,6
datasets,ToothGrowth,The Effect of Vitamin C on Tooth Growth in Guinea Pigs,60,3
datasets,UCBAdmissions,Student Admissions at UC Berkeley,2,2
datasets,UKDriverDeaths,Road Casualties in Great Britain 1969-84,192,2
datasets,UKgas,UK Quarterly Gas Consumption,108,2
datasets,USAccDeaths,Accidental Deaths in the US 1973-1978,72,2
datasets,USArrests,Violent Crime Rates by US State,50,4
datasets,USJudgeRatings,Lawyers' Ratings of State Judges in the US Superior Court,43,12
datasets,USPersonalExpenditure,Personal Expenditure Data,5,5
datasets,VADeaths,Death Rates in Virginia (1940),5,4
datasets,WWWusage,Internet Usage per Minute,100,2
datasets,WorldPhones,The World's Telephones,7,7
datasets,airmiles,"Passenger Miles on Commercial US Airlines, 1937-1960",24,2
datasets,airquality,New York Air Quality Measurements,153,6
datasets,anscombe,Anscombe's Quartet of 'Identical' Simple Linear Regressions,11,8
datasets,attenu,The Joyner-Boore Attenuation Data,182,5
datasets,attitude,The Chatterjee-Price Attitude Data,30,7
datasets,austres,Quarterly Time Series of the Number of Australian Residents,89,2
datasets,cars,Speed and Stopping Distances of Cars,50,2
datasets,chickwts,Chicken Weights by Feed Type,71,2
datasets,co2,Mauna Loa Atmospheric CO2 Concentration,468,2
